step	cost_avg	cost_best	solution_best
0   	    -232282   	    309.793	{ map[18353] = Complex(-1971.517724, 1369.352488); map[-1] = Complex(-1.000000, -1.000000); }
1   	    -179671   	    316.828	{ map[9579] = Complex(-1979.534227, 2398.956445); map[-1] = Complex(0.000000, 0.000000); }
2   	    -134470   	    316.881	{ map[9494] = Complex(-2225.050921, 2067.294769); map[-1] = Complex(0.000000, 0.000000); }
3   	    -102808   	    322.895	{ map[9890] = Complex(33.103645, 2543.389324); map[-1] = Complex(0.000000, 0.000000); }
4   	   -73142.8   	    325.296	{ map[9390] = Complex(-1316.151302, 1303.432079); map[-1] = Complex(0.000000, 0.000000); }
5   	     -53571   	    330.809	{ map[8774] = Complex(-1322.125566, -147.811222); map[-1] = Complex(0.000000, 0.000000); }
6   	     -44384   	    330.809	{ map[8774] = Complex(-1322.125566, -147.811222); map[-1] = Complex(0.000000, 0.000000); }
7   	   -30487.2   	    331.995	{ map[8172] = Complex(-1148.897330, 519.627062); map[-1] = Complex(0.000000, 0.000000); }
8   	   -24759.7   	    331.995	{ map[8172] = Complex(-1148.897330, 519.627062); map[-1] = Complex(0.000000, 0.000000); }
9   	     -25571   	    335.962	{ map[8185] = Complex(-675.777259, -156.015409); map[-1] = Complex(0.000000, 0.000000); }
10   	     -20840   	    335.962	{ map[8185] = Complex(-675.777259, -156.015409); map[-1] = Complex(0.000000, 0.000000); }
11   	   -12070.2   	    335.962	{ map[8185] = Complex(-675.777259, -156.015409); map[-1] = Complex(0.000000, 0.000000); }
12   	   -8555.51   	    335.962	{ map[8185] = Complex(-675.777259, -156.015409); map[-1] = Complex(0.000000, 0.000000); }
13   	   -6926.81   	    335.962	{ map[8185] = Complex(-675.777259, -156.015409); map[-1] = Complex(0.000000, 0.000000); }
14   	   -5856.92   	    335.975	{ map[8186] = Complex(-678.565949, -143.353993); map[-1] = Complex(0.000000, 0.000000); }
15   	   -4297.36   	    335.975	{ map[8186] = Complex(-678.565949, -143.353993); map[-1] = Complex(0.000000, 0.000000); }
16   	   -2774.52   	    377.244	{ map[8324] = Complex(-681.859307, -79.085977); map[-1] = Complex(0.000000, 0.000000); }
17   	   -1229.51   	    377.244	{ map[8324] = Complex(-681.859307, -79.085977); map[-1] = Complex(0.000000, 0.000000); }
18   	    309.611   	    377.244	{ map[8324] = Complex(-681.859307, -79.085977); map[-1] = Complex(0.000000, 0.000000); }
19   	     310.63   	    377.244	{ map[8324] = Complex(-681.859307, -79.085977); map[-1] = Complex(0.000000, 0.000000); }
20   	    322.084   	    377.244	{ map[8324] = Complex(-681.859307, -79.085977); map[-1] = Complex(0.000000, 0.000000); }
21   	    323.216   	    377.244	{ map[8324] = Complex(-681.859307, -79.085977); map[-1] = Complex(0.000000, 0.000000); }
22   	    329.478   	    377.244	{ map[8324] = Complex(-681.859307, -79.085977); map[-1] = Complex(0.000000, 0.000000); }
23   	    330.406   	    377.244	{ map[8324] = Complex(-681.859307, -79.085977); map[-1] = Complex(0.000000, 0.000000); }
24   	    330.749   	    377.244	{ map[8324] = Complex(-681.859307, -79.085977); map[-1] = Complex(0.000000, 0.000000); }
25   	     336.45   	    377.244	{ map[8324] = Complex(-681.859307, -79.085977); map[-1] = Complex(0.000000, 0.000000); }
