step	cost_avg	cost_best	solution_best
0   	    -800475   	    150.187	{ map[40] = Complex(48.451399, 3222.431832);  }
1   	    -623952   	    150.187	{ map[40] = Complex(48.451399, 3222.431832);  }
2   	    -445927   	    150.428	{ map[15510] = Complex(1195.136783, 1705.469617);  }
3   	    -312407   	    150.428	{ map[15510] = Complex(1195.136783, 1705.469617);  }
4   	    -252896   	    157.347	{ map[15203] = Complex(553.453872, 781.312232);  }
5   	    -187885   	    158.907	{ map[14719] = Complex(488.817918, 447.902140);  }
6   	    -168880   	    165.321	{ map[15377] = Complex(626.555681, 1079.061798);  }
7   	    -113871   	    165.321	{ map[15377] = Complex(626.555681, 1079.061798);  }
8   	   -88365.6   	    165.321	{ map[15377] = Complex(626.555681, 1079.061798);  }
9   	   -70861.8   	    165.321	{ map[15377] = Complex(626.555681, 1079.061798);  }
10   	   -39855.9   	    165.321	{ map[15377] = Complex(626.555681, 1079.061798);  }
11   	   -26852.9   	    165.321	{ map[15377] = Complex(626.555681, 1079.061798);  }
12   	   -13849.9   	    167.198	{ map[14782] = Complex(832.830273, 544.003694);  }
13   	   -9848.17   	    167.198	{ map[14782] = Complex(832.830273, 544.003694);  }
14   	   -6346.45   	    167.198	{ map[14782] = Complex(832.830273, 544.003694);  }
15   	   -1844.68   	    167.198	{ map[14782] = Complex(832.830273, 544.003694);  }
16   	   -1343.79   	    170.167	{ map[14525] = Complex(806.044328, 519.265260);  }
17   	   -1343.01   	    170.167	{ map[14525] = Complex(806.044328, 519.265260);  }
18   	   -1842.18   	    170.167	{ map[14525] = Complex(806.044328, 519.265260);  }
19   	   -1841.11   	    170.167	{ map[14525] = Complex(806.044328, 519.265260);  }
20   	   -840.224   	    170.167	{ map[14525] = Complex(806.044328, 519.265260);  }
21   	   -839.334   	    185.465	{ map[14509] = Complex(800.983906, 519.594618);  }
22   	   -338.416   	    185.465	{ map[14509] = Complex(800.983906, 519.594618);  }
23   	    162.443   	    185.465	{ map[14509] = Complex(800.983906, 519.594618);  }
24   	    163.168   	    185.465	{ map[14509] = Complex(800.983906, 519.594618);  }
25   	    163.636   	    185.465	{ map[14509] = Complex(800.983906, 519.594618);  }
26   	    163.968   	    185.465	{ map[14509] = Complex(800.983906, 519.594618);  }
27   	     164.12   	    185.847	{ map[14405] = Complex(749.567407, 522.084871);  }
28   	    164.269   	    185.847	{ map[14405] = Complex(749.567407, 522.084871);  }
29   	    164.536   	    185.847	{ map[14405] = Complex(749.567407, 522.084871);  }
30   	    164.772   	    185.847	{ map[14405] = Complex(749.567407, 522.084871);  }
31   	     164.98   	    185.847	{ map[14405] = Complex(749.567407, 522.084871);  }
32   	    165.087   	     187.29	{ map[14272] = Complex(532.027460, 460.394787);  }
33   	     165.23   	     187.29	{ map[14272] = Complex(532.027460, 460.394787);  }
34   	    165.347   	     187.29	{ map[14272] = Complex(532.027460, 460.394787);  }
35   	    165.543   	     187.29	{ map[14272] = Complex(532.027460, 460.394787);  }
36   	    165.694   	     187.29	{ map[14272] = Complex(532.027460, 460.394787);  }
37   	    165.917   	     187.29	{ map[14272] = Complex(532.027460, 460.394787);  }
38   	    165.953   	     187.29	{ map[14272] = Complex(532.027460, 460.394787);  }
39   	    166.037   	     187.29	{ map[14272] = Complex(532.027460, 460.394787);  }
40   	    166.076   	     187.29	{ map[14272] = Complex(532.027460, 460.394787);  }
41   	    166.143   	     187.29	{ map[14272] = Complex(532.027460, 460.394787);  }
42   	    166.227   	     187.29	{ map[14272] = Complex(532.027460, 460.394787);  }
43   	    166.236   	    187.655	{ map[14234] = Complex(492.253505, 449.073693);  }
44   	    166.256   	    187.919	{ map[14177] = Complex(492.205923, 449.031214);  }
45   	    166.266   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
46   	    166.307   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
47   	    166.548   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
48   	    166.842   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
49   	    167.288   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
50   	    167.811   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
51   	    168.335   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
52   	    168.883   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
53   	    169.324   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
54   	    169.628   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
55   	    169.799   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
56   	     169.91   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
57   	    169.972   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
58   	    170.026   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
59   	    170.075   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
60   	    170.125   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
61   	    170.188   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
62   	    170.246   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
63   	    170.308   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
64   	    170.373   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
65   	    170.466   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
66   	     170.57   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
67   	    170.682   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
68   	    170.821   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
69   	     170.97   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
70   	    171.114   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
71   	    171.269   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
72   	    171.404   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
73   	    171.511   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
74   	    171.582   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
75   	    171.637   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
76   	    171.659   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
77   	    171.678   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
78   	    171.684   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
79   	    171.691   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
80   	    171.692   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
81   	    171.695   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
82   	    171.696   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
83   	    171.696   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
84   	    171.697   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
85   	    171.697   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
86   	    171.697   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
87   	    171.697   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
88   	    171.697   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
89   	    171.697   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
90   	    171.697   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
91   	    171.697   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
92   	    171.697   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
93   	    171.697   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
94   	    171.697   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
95   	    171.707   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
96   	    171.715   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
97   	    171.736   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
98   	    171.792   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
99   	    171.871   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
100   	    171.939   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
101   	    171.984   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
102   	    172.014   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
103   	    172.032   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
104   	    172.081   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
105   	    172.213   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
106   	    172.843   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
107   	    174.493   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
108   	    177.131   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
109   	    179.695   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
110   	     181.69   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
111   	    183.236   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
112   	    184.195   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
113   	    184.771   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
114   	    185.189   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
115   	    185.347   	    187.919	{ map[14177] = Complex(492.204607, 449.016927);  }
