step	cost_avg	cost_best	solution_best
0   	    56.9983   	    216.122	{ map[4637] = Complex(1350.541379, -1293.737054);  }
1   	    91.0217   	    216.122	{ map[4637] = Complex(1350.541379, -1293.737054);  }
2   	    126.618   	     219.04	{ map[4572] = Complex(1271.618972, -1435.502194);  }
3   	    151.994   	     219.04	{ map[4572] = Complex(1271.618972, -1435.502194);  }
4   	    168.558   	     223.59	{ map[4553] = Complex(1050.405341, -1402.111626);  }
5   	    180.332   	    223.702	{ map[4610] = Complex(1305.230088, -1406.441735);  }
6   	    190.502   	    223.702	{ map[4610] = Complex(1305.230088, -1406.441735);  }
7   	    199.368   	    229.134	{ map[1562] = Complex(-1491.803108, 1051.795550);  }
8   	    205.673   	     253.91	{ map[4545] = Complex(1063.187822, -1393.515464);  }
9   	    209.213   	    254.166	{ map[4574] = Complex(1260.693269, -1344.641746);  }
10   	    214.515   	     254.21	{ map[4545] = Complex(1222.677034, -1335.494453);  }
11   	    218.274   	     254.21	{ map[4545] = Complex(1222.677034, -1335.494453);  }
12   	    223.184   	     254.21	{ map[4545] = Complex(1222.677034, -1335.494453);  }
13   	    228.703   	     254.21	{ map[4545] = Complex(1222.677034, -1335.494453);  }
14   	    234.982   	     254.21	{ map[4545] = Complex(1222.677034, -1335.494453);  }
15   	    240.799   	     254.21	{ map[4545] = Complex(1222.677034, -1335.494453);  }
16   	    245.483   	     254.21	{ map[4545] = Complex(1222.677034, -1335.494453);  }
17   	    248.365   	    254.212	{ map[4555] = Complex(1236.442190, -1338.086301);  }
18   	    249.909   	    254.212	{ map[4555] = Complex(1236.442190, -1338.086301);  }
19   	     251.16   	    254.212	{ map[4555] = Complex(1236.442190, -1338.086301);  }
20   	    252.146   	    254.213	{ map[4552] = Complex(1232.972350, -1338.066871);  }
21   	    252.317   	    254.213	{ map[4552] = Complex(1232.695264, -1337.516379);  }
22   	    252.655   	    254.214	{ map[4552] = Complex(1232.140293, -1336.592513);  }
23   	    253.133   	    254.214	{ map[4552] = Complex(1232.140293, -1336.592513);  }
24   	     253.38   	    254.214	{ map[4552] = Complex(1232.140293, -1336.592513);  }
25   	    253.539   	    254.214	{ map[4552] = Complex(1232.140293, -1336.592513);  }
26   	    253.757   	    254.214	{ map[4552] = Complex(1232.140293, -1336.592513);  }
27   	    253.929   	    254.214	{ map[4553] = Complex(1233.418018, -1336.426784);  }
28   	    253.956   	    254.214	{ map[4553] = Complex(1233.418018, -1336.426784);  }
29   	    254.067   	    254.214	{ map[4553] = Complex(1233.418018, -1336.426784);  }
30   	    254.084   	    254.214	{ map[4553] = Complex(1233.452029, -1336.312837);  }
31   	    254.102   	    254.214	{ map[4552] = Complex(1232.053497, -1336.098314);  }
32   	    254.093   	    254.214	{ map[4552] = Complex(1231.881956, -1335.792292);  }
