step	cost_avg	cost_best	solution_best
0   	    50.2532   	    242.941	{ map[7880] = Complex(1414.824691, 2222.142126);  }
1   	    73.0871   	    244.378	{ map[6549] = Complex(-1741.719148, -678.963711);  }
2   	    96.6819   	    244.378	{ map[6549] = Complex(-1741.719148, -678.963711);  }
3   	    123.078   	    244.378	{ map[6549] = Complex(-1741.719148, -678.963711);  }
4   	    145.902   	    244.378	{ map[6549] = Complex(-1741.719148, -678.963711);  }
5   	    157.546   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
6   	    169.898   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
7   	    181.519   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
8   	    194.369   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
9   	    199.343   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
10   	    205.727   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
11   	    210.423   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
12   	     214.65   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
13   	    219.386   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
14   	    224.557   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
15   	    226.456   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
16   	    229.148   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
17   	     229.51   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
18   	    226.567   	     245.11	{ map[4886] = Complex(1377.764379, -1208.383372);  }
19   	    228.958   	    245.126	{ map[4660] = Complex(1367.898388, -1370.518331);  }
0   	     48.823   	    243.261	{ map[4980] = Complex(1653.455500, -1151.193651);  }
1   	    79.3165   	    243.261	{ map[4980] = Complex(1653.455500, -1151.193651);  }
2   	    98.5115   	    243.261	{ map[4980] = Complex(1653.455500, -1151.193651);  }
3   	    124.657   	    243.261	{ map[4980] = Complex(1653.455500, -1151.193651);  }
4   	    144.921   	    244.664	{ map[4663] = Complex(1322.493691, -1178.876356);  }
5   	    158.042   	    244.664	{ map[4663] = Complex(1322.493691, -1178.876356);  }
6   	    166.273   	    244.664	{ map[4663] = Complex(1322.493691, -1178.876356);  }
7   	    173.123   	    244.664	{ map[4663] = Complex(1322.493691, -1178.876356);  }
8   	    188.278   	    244.664	{ map[4663] = Complex(1322.493691, -1178.876356);  }
9   	    198.948   	    244.664	{ map[4663] = Complex(1322.493691, -1178.876356);  }
10   	      204.1   	    244.664	{ map[4663] = Complex(1322.493691, -1178.876356);  }
11   	    209.649   	    244.664	{ map[4663] = Complex(1322.493691, -1178.876356);  }
12   	    211.485   	    252.199	{ map[4695] = Complex(1415.157065, -1308.483819);  }
13   	    213.673   	    252.199	{ map[4695] = Complex(1415.157065, -1308.483819);  }
14   	    219.427   	    254.764	{ map[4707] = Complex(1429.769087, -1230.294034);  }
0   	    127.036   	    287.569	{ map[4707] = Complex(1429.769087, -1230.294034); map[15831] = Complex(388.855447, 2325.849843);  }
1   	    151.198   	    289.982	{ map[4707] = Complex(1429.769087, -1230.294034); map[17986] = Complex(883.926853, 1084.136001);  }
2   	    171.613   	    289.982	{ map[4707] = Complex(1429.769087, -1230.294034); map[17986] = Complex(883.926853, 1084.136001);  }
3   	    179.332   	    289.982	{ map[4707] = Complex(1429.769087, -1230.294034); map[17986] = Complex(883.926853, 1084.136001);  }
4   	    201.799   	    289.982	{ map[4707] = Complex(1429.769087, -1230.294034); map[17986] = Complex(883.926853, 1084.136001);  }
5   	    216.767   	    290.056	{ map[4707] = Complex(1429.769087, -1230.294034); map[17637] = Complex(814.701284, 1077.625465);  }
6   	    229.256   	    290.056	{ map[4707] = Complex(1429.769087, -1230.294034); map[17637] = Complex(814.701284, 1077.625465);  }
7   	    243.026   	     290.34	{ map[4707] = Complex(1429.769087, -1230.294034); map[18636] = Complex(800.576329, 1120.938331);  }
8   	     244.95   	    290.432	{ map[4707] = Complex(1429.769087, -1230.294034); map[18259] = Complex(720.464064, 1103.736370);  }
9   	    253.221   	    290.446	{ map[4707] = Complex(1429.769087, -1230.294034); map[18373] = Complex(741.168905, 1108.019530);  }
10   	    260.883   	    290.548	{ map[4707] = Complex(1429.769087, -1230.294034); map[18479] = Complex(644.861886, 1134.328387);  }
11   	    267.104   	    290.605	{ map[4707] = Complex(1429.769087, -1230.294034); map[18241] = Complex(582.674163, 1056.769390);  }
12   	    272.371   	    313.668	{ map[4707] = Complex(1429.769087, -1230.294034); map[18235] = Complex(968.823719, 1069.020489);  }
13   	    276.729   	    313.668	{ map[4707] = Complex(1429.769087, -1230.294034); map[18235] = Complex(968.823719, 1069.020489);  }
14   	    278.666   	    313.668	{ map[4707] = Complex(1429.769087, -1230.294034); map[18235] = Complex(968.823719, 1069.020489);  }
15   	    282.493   	    313.668	{ map[4707] = Complex(1429.769087, -1230.294034); map[18235] = Complex(968.823719, 1069.020489);  }
16   	    281.868   	    313.668	{ map[4707] = Complex(1429.769087, -1230.294034); map[18235] = Complex(968.823719, 1069.020489);  }
17   	    284.913   	    313.668	{ map[4707] = Complex(1429.769087, -1230.294034); map[18235] = Complex(968.823719, 1069.020489);  }
18   	    285.815   	    313.668	{ map[4707] = Complex(1429.769087, -1230.294034); map[18235] = Complex(968.823719, 1069.020489);  }
19   	    286.159   	    313.668	{ map[4707] = Complex(1429.769087, -1230.294034); map[18235] = Complex(968.823719, 1069.020489);  }
