step	cost_avg	cost_best	solution_best
0   	    -322237   	    276.137	{ map[5479] = Complex(2514.849308, 873.803277);  }
1   	    -263284   	    279.423	{ map[23707] = Complex(2513.969981, -761.260463);  }
2   	    -206528   	    293.483	{ map[13426] = Complex(2230.636162, -872.912808);  }
3   	    -158121   	    293.483	{ map[13426] = Complex(2230.636162, -872.912808);  }
4   	    -128775   	    296.424	{ map[4758] = Complex(2703.384664, -260.853234);  }
5   	   -97353.7   	    296.424	{ map[4758] = Complex(2703.384664, -260.853234);  }
6   	   -79997.2   	    297.619	{ map[5211] = Complex(2732.817705, -58.759390);  }
7   	   -51858.1   	    297.619	{ map[5211] = Complex(2732.817705, -58.759390);  }
8   	   -41212.9   	    313.008	{ map[4479] = Complex(2662.376344, -163.086896);  }
9   	   -30562.2   	    313.008	{ map[4479] = Complex(2662.376344, -163.086896);  }
10   	   -21995.2   	    314.781	{ map[4496] = Complex(2481.119206, -59.150034);  }
11   	     -12927   	    321.546	{ map[4618] = Complex(2633.171041, -179.047342);  }
12   	   -8391.85   	    321.546	{ map[4618] = Complex(2633.171041, -179.047342);  }
13   	   -6347.43   	    321.546	{ map[4618] = Complex(2633.171041, -179.047342);  }
14   	   -4834.12   	    321.546	{ map[4618] = Complex(2633.171041, -179.047342);  }
15   	   -3264.43   	    328.248	{ map[4849] = Complex(2474.280963, -25.013736);  }
16   	   -1220.24   	    328.248	{ map[4849] = Complex(2474.280963, -25.013736);  }
17   	   -207.887   	    328.248	{ map[4849] = Complex(2474.280963, -25.013736);  }
18   	    299.373   	    328.248	{ map[4849] = Complex(2474.280963, -25.013736);  }
19   	    306.491   	    328.248	{ map[4849] = Complex(2474.280963, -25.013736);  }
20   	    308.581   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
21   	     310.46   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
22   	    311.759   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
23   	    312.755   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
24   	    313.719   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
25   	    314.458   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
26   	    315.132   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
27   	    315.608   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
28   	    315.924   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
29   	    316.468   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
30   	    317.093   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
31   	    317.596   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
32   	    318.157   	    330.765	{ map[4691] = Complex(2391.108063, 14.434860);  }
33   	    318.726   	    331.406	{ map[4615] = Complex(2478.640870, -56.230243);  }
34   	     319.29   	    331.406	{ map[4615] = Complex(2478.640870, -56.230243);  }
35   	    319.851   	    331.406	{ map[4615] = Complex(2478.640870, -56.230243);  }
36   	    320.406   	    331.406	{ map[4615] = Complex(2478.640870, -56.230243);  }
37   	    320.947   	    331.406	{ map[4615] = Complex(2478.640870, -56.230243);  }
38   	    321.485   	    363.791	{ map[4531] = Complex(2506.384647, -70.586796);  }
39   	    322.001   	    363.791	{ map[4531] = Complex(2506.384647, -70.586796);  }
40   	    322.412   	    363.791	{ map[4531] = Complex(2506.384647, -70.586796);  }
41   	    322.864   	    363.791	{ map[4531] = Complex(2506.384647, -70.586796);  }
42   	    323.264   	    363.791	{ map[4531] = Complex(2506.384647, -70.586796);  }
43   	    323.633   	    364.558	{ map[4507] = Complex(2478.654117, -56.241729);  }
44   	    323.962   	    364.558	{ map[4507] = Complex(2478.654117, -56.241729);  }
45   	    324.277   	    364.558	{ map[4507] = Complex(2478.651711, -56.236616);  }
46   	    324.674   	    364.558	{ map[4507] = Complex(2478.651711, -56.236616);  }
47   	    325.243   	    364.558	{ map[4507] = Complex(2478.645266, -56.237230);  }
48   	     325.86   	    364.558	{ map[4507] = Complex(2478.645266, -56.237230);  }
49   	    326.599   	    364.558	{ map[4507] = Complex(2478.645266, -56.237230);  }
50   	    327.439   	    364.558	{ map[4507] = Complex(2478.624938, -56.243598);  }
51   	    328.336   	    364.558	{ map[4507] = Complex(2478.624938, -56.243598);  }
52   	    329.062   	    364.558	{ map[4507] = Complex(2478.624938, -56.243598);  }
53   	    329.599   	    364.558	{ map[4507] = Complex(2478.624938, -56.243598);  }
54   	    329.984   	    364.558	{ map[4507] = Complex(2478.624938, -56.243598);  }
55   	    330.266   	    364.558	{ map[4507] = Complex(2478.624938, -56.243598);  }
56   	    330.494   	    364.558	{ map[4507] = Complex(2478.624938, -56.243598);  }
57   	    330.646   	    364.558	{ map[4507] = Complex(2478.624938, -56.243598);  }
58   	    330.794   	    364.558	{ map[4507] = Complex(2478.624938, -56.243598);  }
59   	    330.924   	    364.558	{ map[4507] = Complex(2478.624938, -56.243598);  }
60   	    331.028   	    364.558	{ map[4507] = Complex(2478.624938, -56.243598);  }
61   	    331.138   	    364.558	{ map[4507] = Complex(2478.624938, -56.243598);  }
62   	    331.257   	    364.575	{ map[4506] = Complex(2478.504486, -56.243051);  }
63   	    331.426   	    364.575	{ map[4506] = Complex(2478.504486, -56.243051);  }
64   	    331.637   	    364.575	{ map[4506] = Complex(2478.504486, -56.243051);  }
65   	    332.148   	    364.575	{ map[4506] = Complex(2478.504486, -56.243051);  }
66   	    333.858   	    364.739	{ map[4502] = Complex(2472.789983, -54.824256);  }
67   	    337.547   	    364.739	{ map[4502] = Complex(2472.789983, -54.824256);  }
68   	    343.124   	    364.739	{ map[4502] = Complex(2472.789983, -54.824256);  }
69   	    349.435   	    364.739	{ map[4502] = Complex(2472.789983, -54.824256);  }
70   	    354.695   	    364.782	{ map[4500] = Complex(2472.228730, -55.125736);  }
71   	    358.248   	    364.782	{ map[4500] = Complex(2472.228730, -55.125736);  }
72   	    360.543   	    364.782	{ map[4500] = Complex(2472.228730, -55.125736);  }
