step	cost_avg	cost_best	solution_best
0   	   -80999.7   	    92.5892	{ map[0] = Complex(6649.479373, -176.598780);  }
1   	     -61998   	    92.5892	{ map[0] = Complex(6649.479373, -176.598780);  }
2   	   -50993.6   	     94.536	{ map[0] = Complex(6655.596978, -326.577196);  }
3   	   -31986.9   	    94.9339	{ map[0] = Complex(5504.034956, -1602.013744);  }
4   	   -34978.1   	     95.139	{ map[1] = Complex(7033.255464, 103.867329);  }
5   	   -34967.1   	     95.139	{ map[1] = Complex(7033.255464, 103.867329);  }
6   	     -33957   	    95.4913	{ map[0] = Complex(6505.752821, -593.097275);  }
7   	   -20946.6   	    95.4913	{ map[0] = Complex(6505.752821, -593.097275);  }
8   	     -24940   	    95.4913	{ map[0] = Complex(6505.752821, -593.097275);  }
9   	     -24935   	    95.7382	{ map[0] = Complex(3236.094751, -3252.161757);  }
10   	   -25931.7   	    95.7382	{ map[0] = Complex(3236.094751, -3252.161757);  }
11   	   -14926.5   	    95.7382	{ map[0] = Complex(3236.094751, -3252.161757);  }
12   	   -6924.16   	    95.7382	{ map[0] = Complex(3236.094751, -3252.161757);  }
13   	    -4924.4   	    95.7382	{ map[0] = Complex(3236.094751, -3252.161757);  }
14   	      -6924   	    95.7382	{ map[0] = Complex(3236.094751, -3252.161757);  }
15   	      -4921   	    95.7382	{ map[0] = Complex(3236.094751, -3252.161757);  }
16   	   -5920.02   	    95.8164	{ map[0] = Complex(6904.893032, -120.032072);  }
17   	   -2917.35   	    95.8164	{ map[0] = Complex(6904.893032, -120.032072);  }
18   	   -2916.02   	    95.8164	{ map[0] = Complex(6904.893032, -120.032072);  }
19   	   -1915.16   	    95.8164	{ map[0] = Complex(6904.893032, -120.032072);  }
20   	   -913.823   	    95.8164	{ map[0] = Complex(6904.893032, -120.032072);  }
21   	   -911.624   	    95.9939	{ map[0] = Complex(7182.615099, 246.090038);  }
22   	   -911.576   	    95.9939	{ map[0] = Complex(7182.615099, 246.090038);  }
23   	   -1910.18   	    95.9939	{ map[0] = Complex(7182.615099, 246.090038);  }
24   	    90.6803   	    95.9939	{ map[0] = Complex(7182.615099, 246.090038);  }
25   	    91.2116   	    95.9939	{ map[0] = Complex(7182.615099, 246.090038);  }
26   	    91.7826   	    95.9939	{ map[0] = Complex(7182.615099, 246.090038);  }
27   	    92.4901   	    95.9939	{ map[0] = Complex(7182.615099, 246.090038);  }
28   	    92.9848   	    95.9946	{ map[0] = Complex(7172.060406, 230.994462);  }
29   	    94.0127   	    95.9972	{ map[0] = Complex(7152.592885, 203.097817);  }
30   	     94.527   	    95.9972	{ map[0] = Complex(7152.592885, 203.097817);  }
31   	    94.9778   	    95.9982	{ map[0] = Complex(7167.008112, 223.474326);  }
32   	    95.0192   	    95.9999	{ map[0] = Complex(7164.284140, 219.459645);  }
33   	     95.153   	         96	{ map[0] = Complex(7159.884205, 213.219536);  }
34   	    94.7781   	         96	{ map[0] = Complex(7159.884205, 213.219536);  }
35   	    95.1621   	         96	{ map[0] = Complex(7159.884205, 213.219536);  }
36   	    94.9571   	         96	{ map[0] = Complex(7159.884205, 213.219536);  }
37   	    94.5738   	         96	{ map[0] = Complex(7159.884205, 213.219536);  }
38   	    94.8152   	         96	{ map[0] = Complex(7159.884205, 213.219536);  }
39   	    94.9556   	         96	{ map[0] = Complex(7162.297075, 216.641534);  }
40   	    94.9776   	         96	{ map[0] = Complex(7162.297075, 216.641534);  }
41   	    95.1326   	         96	{ map[0] = Complex(7162.297075, 216.641534);  }
42   	    95.0078   	         96	{ map[0] = Complex(7162.297075, 216.641534);  }
43   	    95.0284   	         96	{ map[0] = Complex(7162.297075, 216.641534);  }
44   	    95.2852   	         96	{ map[0] = Complex(7162.297075, 216.641534);  }
45   	    95.4272   	         96	{ map[0] = Complex(7162.297075, 216.641534);  }
46   	    95.8043   	         96	{ map[0] = Complex(7163.274856, 218.012141);  }
