step	cost_avg	cost_best	solution_best
0   	    -116721   	    319.185	{ map[9080] = Complex(444.000960, 708.819679);  }
1   	   -86831.6   	    319.185	{ map[9080] = Complex(444.000960, 708.819679);  }
2   	   -65087.4   	    319.185	{ map[9080] = Complex(444.000960, 708.819679);  }
3   	   -52521.4   	    319.185	{ map[9080] = Complex(444.000960, 708.819679);  }
4   	   -43237.9   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
5   	   -28266.5   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
6   	   -17956.7   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
7   	   -15215.8   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
8   	   -11542.1   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
9   	   -8322.31   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
10   	    -7726.6   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
11   	   -5578.58   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
12   	   -3987.74   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
13   	   -1386.29   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
14   	    147.217   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
15   	    220.912   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
16   	    258.838   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
17   	    301.817   	    341.004	{ map[8316] = Complex(740.257261, 447.531004);  }
18   	    308.253   	    375.149	{ map[7929] = Complex(655.739568, 512.605130);  }
19   	    309.367   	    375.149	{ map[7929] = Complex(655.739568, 512.605130);  }
20   	    305.337   	    375.637	{ map[8046] = Complex(628.455309, 440.772672);  }
21   	    301.302   	    375.998	{ map[7965] = Complex(615.973521, 460.893277);  }
22   	    312.439   	    375.998	{ map[7965] = Complex(615.973521, 460.893277);  }
23   	    313.292   	    375.998	{ map[7965] = Complex(615.973521, 460.893277);  }
24   	    324.386   	    375.998	{ map[7965] = Complex(615.973521, 460.893277);  }
25   	    330.394   	    375.998	{ map[7965] = Complex(615.973521, 460.893277);  }
26   	    331.242   	    375.998	{ map[7965] = Complex(615.973521, 460.893277);  }
