step	cost_avg	cost_best	solution_best
0   	    -788972   	    152.243	{ map[58] = Complex(1152.136448, -463.816644);  }
1   	    -655953   	    152.865	{ map[169] = Complex(3729.073396, 749.302033);  }
2   	    -541937   	    153.538	{ map[247] = Complex(3244.687867, 165.533853);  }
3   	    -438922   	    153.538	{ map[247] = Complex(3244.687867, 165.533853);  }
4   	    -355242   	    161.062	{ map[129] = Complex(3478.062221, 657.690695);  }
5   	    -288899   	    161.062	{ map[129] = Complex(3478.062221, 657.690695);  }
6   	    -253559   	    161.062	{ map[129] = Complex(3478.062221, 657.690695);  }
7   	    -225888   	    161.062	{ map[129] = Complex(3478.062221, 657.690695);  }
8   	    -199216   	    161.062	{ map[129] = Complex(3478.062221, 657.690695);  }
9   	    -158543   	    161.062	{ map[129] = Complex(3478.062221, 657.690695);  }
10   	    -125205   	    161.062	{ map[129] = Complex(3478.062221, 657.690695);  }
11   	   -97199.8   	    161.062	{ map[129] = Complex(3478.062221, 657.690695);  }
12   	   -87531.2   	    161.062	{ map[129] = Complex(3478.062221, 657.690695);  }
13   	   -68527.8   	    161.062	{ map[129] = Complex(3478.062221, 657.690695);  }
14   	   -54858.5   	    186.841	{ map[232] = Complex(2634.744266, -106.782647);  }
15   	   -44856.8   	    186.841	{ map[232] = Complex(2634.744266, -106.782647);  }
16   	   -36855.1   	    186.841	{ map[232] = Complex(2634.744266, -106.782647);  }
17   	   -33854.3   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
18   	   -24519.1   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
19   	   -24518.7   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
20   	   -16850.6   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
21   	   -13182.9   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
22   	   -7848.21   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
23   	   -6847.53   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
24   	   -4846.75   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
25   	    -1179.1   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
26   	   -178.184   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
27   	   -177.564   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
28   	    156.521   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
29   	    157.305   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
30   	     157.93   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
31   	    158.459   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
32   	    159.023   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
33   	    159.702   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
34   	    160.338   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
35   	    160.875   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
36   	    161.389   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
37   	    161.963   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
38   	    162.487   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
39   	    163.005   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
40   	    163.496   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
41   	    163.967   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
42   	    164.362   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
43   	    164.742   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
44   	    165.089   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
45   	    165.511   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
46   	    165.856   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
47   	    166.156   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
48   	    166.522   	    189.905	{ map[99] = Complex(2261.283706, 78.747606);  }
