step	cost_avg	cost_best	solution_best
0   	    -384947   	     147.41	{ map[6321] = Complex(3646.729034, 1276.185073);  }
1   	    -332936   	     147.41	{ map[6321] = Complex(3646.729034, 1276.185073);  }
2   	    -283926   	     147.41	{ map[6321] = Complex(3646.729034, 1276.185073);  }
3   	    -224914   	     147.41	{ map[6321] = Complex(3646.729034, 1276.185073);  }
4   	    -181905   	     147.41	{ map[6321] = Complex(3646.729034, 1276.185073);  }
5   	    -144898   	     148.11	{ map[5714] = Complex(3155.444574, -12.052911);  }
6   	    -104389   	    150.046	{ map[5706] = Complex(2674.137697, 570.388514);  }
7   	     -82382   	    151.192	{ map[5777] = Complex(2899.688107, 487.661873);  }
8   	   -55374.8   	    178.186	{ map[5819] = Complex(3032.341254, 433.988029);  }
9   	   -39868.9   	    178.186	{ map[5819] = Complex(3032.341254, 433.988029);  }
10   	   -25864.2   	    178.186	{ map[5819] = Complex(3032.341254, 433.988029);  }
11   	   -17859.4   	    178.765	{ map[6051] = Complex(3199.035781, 941.338347);  }
12   	   -9855.71   	    178.765	{ map[6051] = Complex(3199.035781, 941.338347);  }
13   	   -7353.39   	    178.765	{ map[6051] = Complex(3199.035781, 941.338347);  }
14   	    -6851.4   	    178.765	{ map[6051] = Complex(3199.035781, 941.338347);  }
15   	    -4349.6   	     180.32	{ map[5661] = Complex(2643.255019, 503.296860);  }
16   	   -2347.82   	     180.32	{ map[5661] = Complex(2643.255019, 503.296860);  }
17   	   -346.335   	     180.32	{ map[5661] = Complex(2643.255019, 503.296860);  }
18   	    154.621   	     180.32	{ map[5661] = Complex(2643.255019, 503.296860);  }
19   	    155.144   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
20   	     155.56   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
21   	    156.362   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
22   	    158.217   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
23   	    161.607   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
24   	    165.253   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
25   	     169.71   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
26   	    172.846   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
27   	    174.887   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
28   	      176.3   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
29   	    176.809   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
30   	    177.435   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
31   	    177.763   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
32   	    178.017   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
33   	     178.77   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
34   	    178.856   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
35   	    178.893   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
36   	    179.034   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
37   	    179.212   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
38   	    179.356   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
39   	    179.551   	    180.412	{ map[5658] = Complex(2630.284863, 511.046089);  }
