step	cost_avg	cost_best	solution_best
0   	   -5151.57   	    287.649	{ map[9210] = Complex(-1231.442904, 1659.278555);  }
1   	   -4101.36   	    310.169	{ map[7754] = Complex(-1395.963826, 902.752829);  }
2   	   -2881.34   	    310.169	{ map[7754] = Complex(-1395.963826, 902.752829);  }
3   	   -2296.67   	    310.169	{ map[7754] = Complex(-1395.963826, 902.752829);  }
4   	   -1740.37   	    313.591	{ map[9371] = Complex(-3382.744694, 358.210823);  }
5   	   -1309.86   	    314.975	{ map[8163] = Complex(-1210.483299, 561.636273);  }
6   	      -1047   	    315.801	{ map[8093] = Complex(-1030.648856, 466.669999);  }
7   	   -635.752   	    367.826	{ map[8107] = Complex(-1076.532701, 489.625587);  }
8   	   -379.193   	    367.826	{ map[8107] = Complex(-1076.532701, 489.625587);  }
9   	    -255.65   	    367.826	{ map[8107] = Complex(-1076.532701, 489.625587);  }
10   	   -123.731   	    367.826	{ map[8107] = Complex(-1076.532701, 489.625587);  }
11   	   -10.9353   	    367.826	{ map[8107] = Complex(-1076.532701, 489.625587);  }
12   	     144.11   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
13   	    221.591   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
14   	    246.386   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
15   	    281.215   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
16   	    302.045   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
17   	    325.549   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
18   	    346.812   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
19   	    345.197   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
20   	    352.677   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
21   	    364.129   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
22   	    364.964   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
23   	    365.567   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
24   	    365.837   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
25   	    366.031   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
26   	    366.218   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
27   	    367.097   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
28   	    367.782   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
29   	    367.926   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
30   	    368.145   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
31   	    368.763   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
32   	    368.883   	    375.695	{ map[7614] = Complex(-609.888110, 224.383020);  }
