step	cost_avg	cost_best	solution_best
0   	   -29999.1   	    95.3293	{ map[0] = Complex(-4261.407491, 2516.164783); map[-1] = Complex(-1.000000, -1.000000); }
1   	   -19329.3   	    96.0926	{ map[0] = Complex(3203.994123, -4114.240183); map[-1] = Complex(0.000000, 0.000000); }
2   	   -17323.9   	    96.6654	{ map[0] = Complex(5324.056651, -3319.852432); map[-1] = Complex(0.000000, 0.000000); }
3   	   -10982.6   	    96.6654	{ map[0] = Complex(5324.056651, -3319.852432); map[-1] = Complex(0.000000, 0.000000); }
4   	   -9971.93   	    96.6813	{ map[0] = Complex(6087.844499, -2819.656707); map[-1] = Complex(0.000000, 0.000000); }
5   	   -7294.67   	    96.6813	{ map[0] = Complex(6087.844499, -2819.656707); map[-1] = Complex(0.000000, 0.000000); }
6   	   -5616.86   	    96.9424	{ map[0] = Complex(5579.750718, -3191.436064); map[-1] = Complex(0.000000, 0.000000); }
7   	   -2944.01   	    96.9424	{ map[0] = Complex(5579.750718, -3191.436064); map[-1] = Complex(0.000000, 0.000000); }
8   	   -2271.36   	    96.9962	{ map[0] = Complex(4783.989303, -3636.942375); map[-1] = Complex(0.000000, 0.000000); }
9   	   -1600.94   	    96.9962	{ map[0] = Complex(4783.989303, -3636.942375); map[-1] = Complex(0.000000, 0.000000); }
10   	   -1262.79   	    96.9962	{ map[0] = Complex(4783.989303, -3636.942375); map[-1] = Complex(0.000000, 0.000000); }
11   	   -591.878   	    96.9972	{ map[0] = Complex(5587.867604, -3191.585524); map[-1] = Complex(0.000000, 0.000000); }
12   	   -588.162   	    96.9972	{ map[0] = Complex(5587.867604, -3191.585524); map[-1] = Complex(0.000000, 0.000000); }
13   	    -918.59   	    96.9976	{ map[0] = Complex(5632.605892, -3163.175040); map[-1] = Complex(0.000000, 0.000000); }
14   	   -582.257   	    96.9977	{ map[0] = Complex(5326.591685, -3349.691584); map[-1] = Complex(0.000000, 0.000000); }
15   	   -579.119   	    96.9977	{ map[0] = Complex(5326.591685, -3349.691584); map[-1] = Complex(0.000000, 0.000000); }
16   	   -244.087   	    96.9989	{ map[0] = Complex(5398.269629, -3307.727803); map[-1] = Complex(0.000000, 0.000000); }
17   	   -241.995   	    96.9989	{ map[0] = Complex(5448.485495, -3277.660297); map[-1] = Complex(0.000000, 0.000000); }
18   	    93.3376   	    96.9989	{ map[0] = Complex(5448.485495, -3277.660297); map[-1] = Complex(0.000000, 0.000000); }
19   	    94.1312   	    96.9992	{ map[0] = Complex(5546.527195, -3217.676949); map[-1] = Complex(0.000000, 0.000000); }
20   	    94.7991   	    96.9992	{ map[0] = Complex(5546.527195, -3217.676949); map[-1] = Complex(0.000000, 0.000000); }
21   	     95.301   	    96.9992	{ map[0] = Complex(5546.527195, -3217.676949); map[-1] = Complex(0.000000, 0.000000); }
22   	    95.4525   	    96.9992	{ map[0] = Complex(5546.527195, -3217.676949); map[-1] = Complex(0.000000, 0.000000); }
23   	    95.9007   	    96.9992	{ map[0] = Complex(5546.527195, -3217.676949); map[-1] = Complex(0.000000, 0.000000); }
24   	    96.0511   	    96.9993	{ map[0] = Complex(5715.156299, -3109.744172); map[-1] = Complex(0.000000, 0.000000); }
25   	    96.2581   	    96.9993	{ map[0] = Complex(5715.156299, -3109.744172); map[-1] = Complex(0.000000, 0.000000); }
26   	     96.392   	    96.9999	{ map[0] = Complex(5618.969246, -3172.037875); map[-1] = Complex(0.000000, 0.000000); }
27   	    96.4362   	    96.9999	{ map[0] = Complex(5618.969246, -3172.037875); map[-1] = Complex(0.000000, 0.000000); }
