step	cost_avg	cost_best	solution_best
0   	    -865985   	    151.799	{ map[33] = Complex(269.729963, 2360.594811);  }
1   	    -733468   	    151.799	{ map[33] = Complex(269.729963, 2360.594811);  }
2   	    -586449   	    151.799	{ map[33] = Complex(269.729963, 2360.594811);  }
3   	    -460931   	    152.049	{ map[78] = Complex(466.926982, 2044.153432);  }
4   	    -351913   	    152.111	{ map[103] = Complex(472.087971, 1988.158941);  }
5   	    -304905   	    157.966	{ map[160] = Complex(-543.090882, 3470.906310);  }
6   	    -256896   	    172.938	{ map[206] = Complex(-1183.603097, 6972.781034);  }
7   	    -199385   	    172.938	{ map[206] = Complex(-1183.603097, 6972.781034);  }
8   	    -153377   	    172.938	{ map[206] = Complex(-1183.603097, 6972.781034);  }
9   	    -109870   	    172.938	{ map[206] = Complex(-1183.603097, 6972.781034);  }
10   	   -64861.6   	    172.938	{ map[206] = Complex(-1183.603097, 6972.781034);  }
11   	   -50857.9   	    187.414	{ map[137] = Complex(-425.506047, 3116.525928);  }
12   	   -46355.6   	    187.414	{ map[137] = Complex(-425.506047, 3116.525928);  }
13   	   -30850.9   	    187.414	{ map[137] = Complex(-425.506047, 3116.525928);  }
14   	   -26347.1   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
15   	   -15840.8   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
16   	   -12334.7   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
17   	   -7329.33   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
18   	   -4824.81   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
19   	   -3321.92   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
20   	   -1819.35   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
21   	   -317.855   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
22   	    183.588   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
23   	    184.319   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
24   	    184.879   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
25   	    185.321   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
26   	      185.5   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
27   	    185.963   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
28   	    186.052   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
29   	    186.209   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
30   	    186.243   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
31   	    186.421   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
32   	     186.45   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
33   	    186.521   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
34   	    186.585   	    187.689	{ map[142] = Complex(140.292358, 2292.209261);  }
