step	cost_avg	cost_best	solution_best
0   	   -16333.5   	    95.7023	{ map[0] = Complex(-1844.067878, 5270.821391); map[-1] = Complex(-1.000000, -1.000000); }
1   	   -9998.59   	    95.7023	{ map[0] = Complex(-1844.067878, 5270.821391); map[-1] = Complex(-1.000000, -1.000000); }
2   	    -5662.9   	    95.8525	{ map[0] = Complex(-472.796654, 6590.947937); map[-1] = Complex(0.000000, 0.000000); }
3   	   -8992.54   	    95.8525	{ map[0] = Complex(-472.796654, 6590.947937); map[-1] = Complex(0.000000, 0.000000); }
4   	   -7984.97   	    95.8525	{ map[0] = Complex(-472.796654, 6590.947937); map[-1] = Complex(0.000000, 0.000000); }
5   	   -5974.34   	    95.8786	{ map[0] = Complex(500.852051, 7308.721842); map[-1] = Complex(0.000000, 0.000000); }
6   	   -3962.29   	    95.8786	{ map[0] = Complex(500.852051, 7308.721842); map[-1] = Complex(0.000000, 0.000000); }
7   	   -2617.81   	    95.9283	{ map[0] = Complex(-1509.927081, 5653.460955); map[-1] = Complex(0.000000, 0.000000); }
8   	   -943.786   	    95.9283	{ map[0] = Complex(-1509.927081, 5653.460955); map[-1] = Complex(0.000000, 0.000000); }
9   	    63.7016   	    95.9283	{ map[0] = Complex(-1509.927081, 5653.460955); map[-1] = Complex(0.000000, 0.000000); }
10   	    69.8833   	    95.9283	{ map[0] = Complex(-1509.927081, 5653.460955); map[-1] = Complex(0.000000, 0.000000); }
11   	    73.6192   	    95.9796	{ map[0] = Complex(-191.002668, 6821.524706); map[-1] = Complex(0.000000, 0.000000); }
12   	    76.9765   	    95.9937	{ map[0] = Complex(-1495.053735, 5674.930717); map[-1] = Complex(0.000000, 0.000000); }
13   	     78.964   	    95.9937	{ map[0] = Complex(-1495.053735, 5674.930717); map[-1] = Complex(0.000000, 0.000000); }
14   	    81.8169   	    95.9949	{ map[0] = Complex(-68.784046, 6914.586873); map[-1] = Complex(0.000000, 0.000000); }
15   	    84.3904   	    95.9949	{ map[0] = Complex(-68.784046, 6914.586873); map[-1] = Complex(0.000000, 0.000000); }
16   	    86.0997   	    95.9949	{ map[0] = Complex(-68.784046, 6914.586873); map[-1] = Complex(0.000000, 0.000000); }
17   	    87.6776   	    95.9949	{ map[0] = Complex(-68.784046, 6914.586873); map[-1] = Complex(0.000000, 0.000000); }
18   	    89.4479   	    95.9979	{ map[0] = Complex(-151.346490, 6852.907531); map[-1] = Complex(0.000000, 0.000000); }
19   	    91.2859   	    95.9979	{ map[0] = Complex(-151.346490, 6852.907531); map[-1] = Complex(0.000000, 0.000000); }
20   	    91.6434   	    95.9985	{ map[0] = Complex(-483.964618, 6592.892184); map[-1] = Complex(0.000000, 0.000000); }
21   	     92.002   	    95.9985	{ map[0] = Complex(-483.964618, 6592.892184); map[-1] = Complex(0.000000, 0.000000); }
22   	    93.1495   	    95.9985	{ map[0] = Complex(-483.964618, 6592.892184); map[-1] = Complex(0.000000, 0.000000); }
23   	    93.6636   	    95.9985	{ map[0] = Complex(-483.964618, 6592.892184); map[-1] = Complex(0.000000, 0.000000); }
24   	    93.8849   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
25   	    94.2029   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
26   	    94.5873   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
27   	    95.1204   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
28   	    95.3833   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
29   	    95.3596   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
30   	    95.5197   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
31   	    95.5298   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
32   	    95.5988   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
33   	     95.673   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
34   	    95.6888   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
35   	    95.7246   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
36   	    95.7531   	    95.9995	{ map[0] = Complex(-343.578318, 6704.906345); map[-1] = Complex(0.000000, 0.000000); }
37   	    95.7863   	    95.9999	{ map[0] = Complex(-323.381516, 6720.764040); map[-1] = Complex(0.000000, 0.000000); }
38   	    95.7504   	    95.9999	{ map[0] = Complex(-323.381516, 6720.764040); map[-1] = Complex(0.000000, 0.000000); }
